year,day,time,impact,cur,text,actual,forecast,previous
2022,Mar 3,12:00am,low,JPY,Consumer Confidence,35.3,35.0,36.7
2022,Mar 3,2:30am,low,CHF,CPI m/m,0.7%,0.3%,0.2%
2022,Mar 3,3:15am,low,EUR,Spanish Services PMI,56.6,51.5,46.6
2022,Mar 3,3:45am,low,EUR,Italian Services PMI,52.8,52.6,48.5
2022,Mar 3,3:50am,low,EUR,French Final Services PMI,55.5,57.9,57.9
2022,Mar 3,3:55am,low,EUR,German Final Services PMI,55.8,56.6,56.6
2022,Mar 3,4:00am,low,EUR,Final Services PMI,55.5,55.8,55.8
2022,Mar 3,4:00am,low,EUR,Italian Monthly Unemployment Rate,8.8%,9.0%,9.0%
2022,Mar 3,4:30am,low,GBP,Final Services PMI,60.5,60.8,60.8
2022,Mar 3,5:00am,low,EUR,PPI m/m,5.2%,2.5%,3.0%
2022,Mar 3,5:00am,low,EUR,Unemployment Rate,6.8%,6.9%,7.0%
2022,Mar 3,5:04am,low,EUR,French 10-y Bond Auction,0.52|1.7,,0.45|2.6
2022,Mar 3,7:30am,low,EUR,ECB Monetary Policy Meeting Accounts,,,
2022,Mar 3,7:30am,low,USD,Challenger Job Cuts y/y,-55.9%,,-76.0%
2022,Mar 3,8:30am,medium,USD,Unemployment Claims,215K,223K,233K
2022,Mar 3,8:30am,low,USD,Revised Nonfarm Productivity q/q,6.6%,6.6%,6.6%
2022,Mar 3,8:30am,low,USD,Revised Unit Labor Costs q/q,0.9%,0.3%,0.3%
2022,Mar 3,9:45am,low,USD,Final Services PMI,56.5,56.7,56.7
2022,Mar 3,10:00am,high,USD,Fed Chair Powell Testifies,,,
2022,Mar 3,10:00am,high,USD,ISM Services PMI,56.5,61.2,59.9
2022,Mar 3,10:00am,low,USD,Factory Orders m/m,1.4%,0.8%,0.7%
2022,Mar 3,10:30am,low,USD,Natural Gas Storage,-139B,-138B,-129B
2022,Mar 3,11:30am,high,CAD,BOC Gov Macklem Speaks,,,
2022,Mar 3,3:30pm,high,CAD,BOC Gov Macklem Speaks,,,
2022,Mar 3,6:00pm,low,USD,FOMC Member Williams Speaks,,,
2022,Mar 3,6:30pm,low,JPY,Unemployment Rate,2.8%,2.7%,2.7%
2022,Mar 3,7:30pm,low,AUD,Retail Sales m/m,1.8%,1.8%,1.8%
2022,Mar 4,2:00am,low,EUR,German Trade Balance,9.4B,7.5B,8.1B
2022,Mar 4,2:45am,low,EUR,French Industrial Production m/m,1.6%,0.5%,-0.1%
2022,Mar 4,4:30am,low,GBP,Construction PMI,59.1,57.4,56.3
2022,Mar 4,5:00am,low,EUR,Retail Sales m/m,0.2%,1.5%,-2.7%
2022,Mar 4,8:30am,low,CAD,Building Permits m/m,-8.8%,1.3%,-2.4%
2022,Mar 4,8:30am,low,CAD,Labor Productivity q/q,-0.5%,-0.2%,-1.5%
2022,Mar 4,8:30am,high,USD,Average Hourly Earnings m/m,0.0%,0.5%,0.6%
2022,Mar 4,8:30am,high,USD,Non-Farm Employment Change,678K,407K,481K
2022,Mar 4,8:30am,high,USD,Unemployment Rate,3.8%,3.9%,4.0%
2022,Mar 4,10:00am,medium,CAD,Ivey PMI,60.6,54.2,50.7
2022,Mar 6,4:30pm,low,AUD,AIG Services Index,60.0,,56.2
2022,Mar 6,7:30pm,low,AUD,ANZ Job Advertisements m/m,8.4%,,-0.7%
2022,Mar 6,10:13pm,low,CNY,Trade Balance,739B,450B,605B
2022,Mar 6,10:14pm,low,CNY,USD-Denominated Trade Balance,116.0B,95.5B,94.5B
2022,Mar 7,1:45am,low,CHF,Unemployment Rate,2.2%,2.3%,2.3%
2022,Mar 7,2:00am,low,EUR,German Factory Orders m/m,1.8%,0.9%,3.0%
2022,Mar 7,2:00am,low,EUR,German Retail Sales m/m,2.0%,1.9%,-4.6%
2022,Mar 7,2:00am,low,GBP,Halifax HPI m/m,0.5%,1.0%,0.2%
2022,Mar 7,3:00am,low,CHF,Foreign Currency Reserves,938B,,947B
2022,Mar 7,4:30am,low,EUR,Sentix Investor Confidence,-7.0,5.1,16.6
2022,Mar 7,10:00am,low,GBP,MPC Member Cunliffe Speaks,,,
2022,Mar 7,3:00pm,low,USD,Consumer Credit m/m,6.8B,24.7B,22.4B
2022,Mar 7,6:30pm,low,JPY,Average Cash Earnings y/y,0.9%,0.2%,-0.4%
2022,Mar 7,6:50pm,low,JPY,Bank Lending y/y,0.4%,0.6%,0.5%
2022,Mar 7,6:50pm,low,JPY,Current Account,0.19T,0.33T,0.81T
2022,Mar 7,7:01pm,low,GBP,BRC Retail Sales Monitor y/y,2.7%,4.7%,8.1%
2022,Mar 7,7:30pm,low,AUD,NAB Business Confidence,13,,4
2022,Mar 8,12:00am,low,JPY,Leading Indicators,103.7%,103.7%,104.8%
2022,Mar 8,1:05am,low,JPY,Economy Watchers Sentiment,37.7,38.1,37.9
2022,Mar 8,2:00am,low,EUR,German Industrial Production m/m,2.7%,0.5%,1.1%
2022,Mar 8,4:00am,low,EUR,Italian Retail Sales m/m,-0.5%,1.1%,0.8%
2022,Mar 8,5:00am,low,EUR,Final Employment Change q/q,0.5%,0.5%,0.5%
2022,Mar 8,5:00am,low,EUR,Revised GDP q/q,0.3%,0.3%,0.3%
2022,Mar 8,5:11am,low,GBP,30-y Bond Auction,1.58|2.3,,0.87|2.4
2022,Mar 8,6:00am,low,USD,NFIB Small Business Index,95.7,97.5,97.1
2022,Mar 8,8:30am,low,CAD,Trade Balance,2.6B,1.2B,-1.6B
2022,Mar 8,8:30am,low,USD,Trade Balance,-89.7B,-87.5B,-82.0B
2022,Mar 8,10:00am,low,USD,Final Wholesale Inventories m/m,0.8%,0.8%,0.8%
2022,Mar 8,10:01am,low,USD,IBD/TIPP Economic Optimism,41.0,45.7,44.0
2022,Mar 8,10:45am,low,USD,President Biden Speaks,,,
2022,Mar 8,4:45pm,low,NZD,Manufacturing Sales q/q,12.0%,,-2.3%
2022,Mar 8,5:15pm,high,AUD,RBA Gov Lowe Speaks,,,
2022,Mar 8,6:30pm,low,AUD,Westpac Consumer Sentiment,-4.2%,,-1.3%
2022,Mar 8,6:50pm,low,JPY,Final GDP q/q,1.1%,1.4%,1.3%
2022,Mar 8,6:50pm,low,JPY,M2 Money Stock y/y,3.6%,3.5%,3.6%
2022,Mar 8,6:53pm,low,JPY,Final GDP Price Index y/y,-1.3%,-1.3%,-1.3%
2022,Mar 8,8:30pm,low,CNY,CPI y/y,0.9%,0.9%,0.9%
2022,Mar 8,8:30pm,low,CNY,PPI y/y,8.8%,8.5%,9.1%
2022,Mar 9,12:58am,low,JPY,Prelim Machine Tool Orders y/y,31.6%,,61.4%
2022,Mar 9,1:30am,low,EUR,French Final Private Payrolls q/q,0.6%,0.5%,0.5%
2022,Mar 9,3:00am,low,AUD,RBA Deputy Gov Debelle Speaks,,,
2022,Mar 9,4:00am,low,EUR,Italian Industrial Production m/m,-3.4%,-0.6%,-1.1%
2022,Mar 9,10:00am,high,USD,JOLTS Job Openings,11.26M,10.96M,11.45M
2022,Mar 9,10:30am,medium,USD,Crude Oil Inventories,-1.9M,-1.1M,-2.6M
2022,Mar 9,1:01pm,medium,USD,10-y Bond Auction,1.92|2.5,,1.90|2.7
2022,Mar 9,6:50pm,low,JPY,PPI y/y,9.3%,8.6%,8.9%
2022,Mar 9,7:01pm,low,GBP,RICS House Price Balance,79%,72%,74%
2022,Mar 9,7:03pm,low,AUD,MI Inflation Expectations,4.9%,,4.6%
2022,Mar 10,7:30am,high,USD,CPI y/y,7.9%,7.9%,7.5%
2022,Mar 10,7:45am,high,EUR,Main Refinancing Rate,0.00%,0.00%,0.00%
2022,Mar 10,7:45am,high,EUR,Monetary Policy Statement,,,
2022,Mar 10,8:30am,high,EUR,ECB Press Conference,,,
2022,Mar 10,8:30am,high,USD,CPI m/m,0.8%,0.8%,0.6%
2022,Mar 10,8:30am,high,USD,Core CPI m/m,0.5%,0.5%,0.6%
2022,Mar 10,8:30am,medium,USD,Unemployment Claims,227K,220K,216K
2022,Mar 10,10:30am,low,USD,Natural Gas Storage,-124B,-116B,-139B
2022,Mar 10,1:01pm,medium,USD,30-y Bond Auction,2.38|2.5,,2.34|2.3
2022,Mar 10,2:00pm,low,USD,Federal Budget Balance,-216.6B,-213.0B,118.7B
2022,Mar 10,4:30pm,low,NZD,BusinessNZ Manufacturing Index,53.6,,52.3
2022,Mar 10,4:45pm,high,AUD,RBA Gov Lowe Speaks,,,
2022,Mar 10,4:45pm,low,NZD,FPI m/m,-0.1%,,2.7%
2022,Mar 10,6:30pm,low,JPY,Household Spending y/y,6.9%,3.3%,-0.2%
2022,Mar 10,6:50pm,low,JPY,BSI Manufacturing Index,-7.6,8.2,7.9
2022,Mar 11,2:00am,low,EUR,German Final CPI m/m,0.9%,0.9%,0.9%
2022,Mar 11,2:00am,low,GBP,Construction Output m/m,1.1%,0.5%,2.0%
2022,Mar 11,2:00am,low,GBP,GDP m/m,0.8%,0.1%,-0.2%
2022,Mar 11,2:00am,low,GBP,Index of Services 3m/3m,1.0%,0.8%,1.2%
2022,Mar 11,2:00am,low,GBP,Industrial Production m/m,0.7%,0.1%,0.3%
2022,Mar 11,2:00am,low,GBP,Manufacturing Production m/m,0.8%,0.2%,0.2%
2022,Mar 11,2:02am,low,GBP,Goods Trade Balance,-26.5B,-12.6B,-12.4B
2022,Mar 11,3:01am,low,CNY,M2 Money Supply y/y,9.2%,9.5%,9.8%
2022,Mar 11,3:01am,low,CNY,New Loans,1230B,1425B,3980B
2022,Mar 11,4:00am,low,EUR,Italian Quarterly Unemployment Rate,9.1%,9.0%,9.1%
2022,Mar 11,4:30am,low,GBP,Consumer Inflation Expectations,4.3%,,3.2%
2022,Mar 11,8:30am,high,CAD,Employment Change,336.6K,132.0K,-200.1K
2022,Mar 11,8:30am,high,CAD,Unemployment Rate,5.5%,6.2%,6.5%
2022,Mar 11,8:30am,low,CAD,Capacity Utilization Rate,82.9%,81.9%,81.4%
2022,Mar 11,9:45am,low,GBP,NIESR GDP Estimate,1.0%,,1.1%
2022,Mar 11,10:00am,high,USD,Prelim UoM Consumer Sentiment,59.7,61.4,62.8
2022,Mar 11,10:00am,low,USD,Prelim UoM Inflation Expectations,5.4%,,4.9%
2022,Mar 13,3:00am,holiday,CAD,Daylight Saving Time Shift,,,
2022,Mar 13,3:00am,holiday,USD,Daylight Saving Time Shift,,,
2022,Mar 13,5:45pm,low,NZD,Visitor Arrivals m/m,-34.5%,,16.0%
2022,Mar 14,3:00am,low,EUR,German WPI m/m,1.7%,0.9%,2.3%
2022,Mar 14,3:42am,low,CNY,Foreign Direct Investment ytd/y,37.9%,,11.6%
2022,Mar 14,3:45am,low,EUR,French Trade Balance,-8.0B,-9.8B,-11.4B
2022,Mar 14,4:00am,low,CHF,SECO Economic Forecasts,,,
2022,Mar 14,All Day,low,EUR,Eurogroup Meetings,,,
2022,Mar 14,9:30am,low,GBP,CB Leading Index m/m,0.2%,,0.1%
2022,Mar 14,5:30pm,low,NZD,BusinessNZ Services Index,48.6,,46.0
2022,Mar 14,8:30pm,high,AUD,Monetary Policy Meeting Minutes,,,
2022,Mar 14,8:30pm,low,AUD,HPI q/q,4.7%,3.4%,5.0%
2022,Mar 14,10:00pm,medium,CNY,Retail Sales y/y,6.7%,3.0%,1.7%
2022,Mar 14,10:00pm,low,CNY,Fixed Asset Investment ytd/y,12.2%,5.0%,4.9%
2022,Mar 14,10:00pm,low,CNY,Industrial Production y/y,7.5%,4.0%,4.3%
2022,Mar 14,10:00pm,low,CNY,NBS Press Conference,,,
2022,Mar 14,10:00pm,low,CNY,Unemployment Rate,5.5%,5.1%,5.1%
2022,Mar 15,3:00am,low,GBP,Average Earnings Index 3m/y,4.8%,4.6%,4.6%
2022,Mar 15,3:00am,low,GBP,Claimant Count Change,-48.1K,20.3K,-67.3K
2022,Mar 15,3:00am,low,GBP,Unemployment Rate,3.9%,4.0%,4.1%
2022,Mar 15,3:30am,low,CHF,PPI m/m,0.4%,0.4%,0.6%
2022,Mar 15,3:45am,low,EUR,French Final CPI m/m,0.8%,0.7%,0.7%
2022,Mar 15,6:00am,medium,EUR,ZEW Economic Sentiment,-38.7,10.3,48.6
2022,Mar 15,6:00am,medium,EUR,German ZEW Economic Sentiment,-39.3,5.2,54.3
2022,Mar 15,6:00am,low,EUR,Industrial Production m/m,0.0%,0.0%,1.3%
2022,Mar 15,All Day,low,EUR,ECOFIN Meetings,,,
2022,Mar 15,8:13am,low,CAD,Housing Starts,247K,241K,229K
2022,Mar 15,8:30am,low,CAD,Manufacturing Sales m/m,0.6%,1.3%,0.8%
2022,Mar 15,8:30am,high,USD,PPI m/m,0.8%,1.0%,1.0%
2022,Mar 15,8:30am,medium,USD,Core PPI m/m,0.2%,0.6%,0.8%
2022,Mar 15,8:30am,medium,USD,Empire State Manufacturing Index,-11.8,6.5,3.1
2022,Mar 15,10:44am,low,NZD,GDT Price Index,-0.9%,,5.1%
2022,Mar 15,11:15am,medium,EUR,ECB President Lagarde Speaks,,,
2022,Mar 15,4:00pm,low,USD,TIC Long-Term Purchases,58.8B,90.0B,114.5B
2022,Mar 15,5:45pm,low,NZD,Current Account,-7.26B,-6.21B,-8.25B
2022,Mar 15,7:30pm,low,AUD,MI Leading Index m/m,-0.2%,,-0.3%
2022,Mar 15,7:50pm,low,JPY,Trade Balance,-1.03T,-0.39T,-0.78T
2022,Mar 16,12:30am,low,JPY,Revised Industrial Production m/m,-0.8%,-1.3%,-1.3%
2022,Mar 16,6:35am,low,EUR,German 10-y Bond Auction,0.38|1.3,,-0.20|1.2
2022,Mar 16,8:30am,high,CAD,CPI m/m,1.0%,0.9%,0.9%
2022,Mar 16,8:30am,medium,CAD,Common CPI y/y,2.6%,2.4%,2.4%
2022,Mar 16,8:30am,medium,CAD,Median CPI y/y,3.5%,3.5%,3.4%
2022,Mar 16,8:30am,medium,CAD,Trimmed CPI y/y,4.3%,4.2%,4.0%
2022,Mar 16,8:30am,low,CAD,Wholesale Sales m/m,4.2%,4.0%,1.0%
2022,Mar 16,8:30am,high,USD,Core Retail Sales m/m,0.2%,0.9%,4.4%
2022,Mar 16,8:30am,high,USD,Retail Sales m/m,0.3%,0.4%,4.9%
2022,Mar 16,8:30am,low,USD,Import Prices m/m,1.4%,1.7%,1.9%
2022,Mar 16,8:32am,low,CAD,Core CPI m/m,0.8%,,0.8%
2022,Mar 16,10:00am,low,USD,Business Inventories m/m,1.1%,1.2%,2.4%
2022,Mar 16,10:00am,low,USD,NAHB Housing Market Index,79,81,81
2022,Mar 16,10:30am,medium,USD,Crude Oil Inventories,4.3M,-1.8M,-1.9M
2022,Mar 16,12:30pm,low,USD,President Biden Speaks,,,
2022,Mar 16,2:00pm,high,USD,FOMC Economic Projections,,,
2022,Mar 16,2:00pm,high,USD,FOMC Statement,,,
2022,Mar 16,2:00pm,high,USD,Federal Funds Rate,0.50%,0.50%,<0.25%
2022,Mar 16,2:30pm,high,USD,FOMC Press Conference,,,
2022,Mar 16,5:45pm,high,NZD,GDP q/q,3.0%,3.3%,-3.6%
2022,Mar 16,7:50pm,low,JPY,Core Machinery Orders m/m,-2.0%,-2.0%,3.1%
2022,Mar 16,8:30pm,high,AUD,Employment Change,77.4K,36.0K,28.3K
2022,Mar 16,8:30pm,high,AUD,Unemployment Rate,4.0%,4.1%,4.2%
2022,Mar 16,8:30pm,low,AUD,RBA Bulletin,,,
2022,Mar 17,3:00am,low,CHF,Trade Balance,5.95B,4.20B,3.07B
2022,Mar 17,5:30am,medium,EUR,ECB President Lagarde Speaks,,,
2022,Mar 17,6:00am,low,EUR,Final CPI y/y,5.9%,5.8%,5.8%
2022,Mar 17,6:00am,low,EUR,Final Core CPI y/y,2.7%,2.7%,2.7%
2022,Mar 17,8:00am,high,GBP,MPC Official Bank Rate Votes,8-0-1,9-0-0,9-0-0
2022,Mar 17,8:00am,high,GBP,Monetary Policy Summary,,,
2022,Mar 17,8:00am,high,GBP,Official Bank Rate,0.75%,0.75%,0.50%
2022,Mar 17,8:30am,medium,USD,Philly Fed Manufacturing Index,27.4,15.1,16.0
2022,Mar 17,8:30am,medium,USD,Unemployment Claims,214K,221K,229K
2022,Mar 17,8:30am,low,USD,Building Permits,1.86M,1.84M,1.90M
2022,Mar 17,8:30am,low,USD,Housing Starts,1.77M,1.70M,1.66M
2022,Mar 17,9:15am,medium,USD,Industrial Production m/m,0.5%,0.5%,1.4%
2022,Mar 17,9:15am,low,USD,Capacity Utilization Rate,77.6%,77.9%,77.3%
2022,Mar 17,10:30am,low,USD,Natural Gas Storage,-79B,-71B,-124B
2022,Mar 17,7:30pm,low,JPY,National Core CPI y/y,0.6%,0.6%,0.2%
2022,Mar 17,10:51pm,medium,JPY,Monetary Policy Statement,,,
2022,Mar 17,10:51pm,low,JPY,BOJ Policy Rate,-0.10%,-0.10%,-0.10%
2022,Mar 18,12:30am,low,JPY,Tertiary Industry Activity m/m,-0.7%,-1.0%,0.1%
2022,Mar 18,2:30am,medium,JPY,BOJ Press Conference,,,
2022,Mar 18,5:00am,low,EUR,Italian Trade Balance,-5.05B,3.05B,1.10B
2022,Mar 18,6:00am,low,EUR,Trade Balance,-7.7B,-9.1B,-9.7B
2022,Mar 18,8:30am,medium,CAD,Core Retail Sales m/m,2.5%,2.3%,-2.7%
2022,Mar 18,8:30am,medium,CAD,Retail Sales m/m,3.2%,2.4%,-2.0%
2022,Mar 18,8:30am,low,CAD,Foreign Securities Purchases,13.49B,34.50B,37.54B
2022,Mar 18,8:30am,low,CAD,NHPI m/m,1.1%,0.6%,0.9%
2022,Mar 18,10:00am,medium,USD,Existing Home Sales,6.02M,6.10M,6.49M
2022,Mar 18,10:00am,low,USD,CB Leading Index m/m,0.3%,0.3%,-0.5%
2022,Mar 18,2:00pm,low,USD,FOMC Member Bowman Speaks,,,
2022,Mar 20,5:45pm,low,NZD,Trade Balance,-385M,-808M,-1126M
2022,Mar 20,All Day,holiday,JPY,Bank Holiday,,,
2022,Mar 20,8:01pm,low,GBP,Rightmove HPI m/m,1.7%,,2.3%
2022,Mar 20,10:00pm,low,NZD,Credit Card Spending y/y,1.0%,,5.1%
2022,Mar 21,3:00am,low,EUR,German PPI m/m,1.4%,1.8%,2.2%
2022,Mar 21,3:30am,medium,EUR,ECB President Lagarde Speaks,,,
2022,Mar 21,7:00am,low,EUR,German Buba Monthly Report,,,
2022,Mar 21,12:30pm,high,USD,Fed Chair Powell Speaks,,,
2022,Mar 21,4:00pm,low,NZD,Westpac Consumer Sentiment,92.1,,99.1
2022,Mar 21,9:00pm,medium,AUD,RBA Gov Lowe Speaks,,,
2022,Mar 22,3:00am,low,GBP,Public Sector Net Borrowing,12.3B,8.5B,-7.8B
2022,Mar 22,5:05am,low,EUR,Current Account,22.6B,24.3B,22.6B
2022,Mar 22,7:00am,low,GBP,CBI Industrial Order Expectations,26,16,20
2022,Mar 22,8:30am,low,CAD,IPPI m/m,3.1%,2.6%,3.0%
2022,Mar 22,8:30am,low,CAD,RMPI m/m,6.0%,5.4%,6.5%
2022,Mar 22,9:15am,medium,EUR,ECB President Lagarde Speaks,,,
2022,Mar 22,9:59am,low,USD,Richmond Manufacturing Index,13,2,1
2022,Mar 22,10:35am,low,USD,FOMC Member Williams Speaks,,,
2022,Mar 22,11:15am,medium,CHF,SNB Chairman Jordan Speaks,,,
2022,Mar 22,11:15am,low,GBP,MPC Member Cunliffe Speaks,,,
2022,Mar 22,5:00pm,medium,USD,FOMC Member Mester Speaks,,,
2022,Mar 23,12:59am,low,JPY,BOJ Core CPI y/y,1.0%,0.8%,0.8%
2022,Mar 23,3:00am,high,GBP,CPI y/y,6.2%,6.0%,5.5%
2022,Mar 23,3:00am,low,GBP,Core CPI y/y,5.2%,5.0%,4.4%
2022,Mar 23,3:00am,low,GBP,PPI Input m/m,1.4%,1.2%,1.5%
2022,Mar 23,3:00am,low,GBP,PPI Output m/m,0.8%,0.9%,1.2%
2022,Mar 23,3:00am,low,GBP,RPI y/y,8.2%,8.2%,7.8%
2022,Mar 23,5:30am,low,GBP,HPI y/y,9.6%,10.2%,10.0%
2022,Mar 23,8:00am,high,GBP,BOE Gov Bailey Speaks,,,
2022,Mar 23,8:00am,high,USD,Fed Chair Powell Speaks,,,
2022,Mar 23,8:43am,high,GBP,Annual Budget Release,,,
2022,Mar 23,10:00am,low,USD,New Home Sales,772K,809K,788K
2022,Mar 23,10:30am,low,AUD,CB Leading Index m/m,-0.4%,,0.2%
2022,Mar 23,10:30am,medium,USD,Crude Oil Inventories,-2.5M,-0.7M,4.3M
2022,Mar 23,10:50am,low,EUR,Consumer Confidence,-19,-13,-9
2022,Mar 23,3:00pm,medium,USD,FOMC Member Bullard Speaks,,,
2022,Mar 23,6:00pm,low,AUD,Flash Manufacturing PMI,57.3,,57.0
2022,Mar 23,6:00pm,low,AUD,Flash Services PMI,57.9,,57.4
2022,Mar 23,7:50pm,low,JPY,Monetary Policy Meeting Minutes,,,
2022,Mar 23,8:30pm,low,JPY,Flash Manufacturing PMI,53.2,53.5,52.7
2022,Mar 23,9:05pm,medium,USD,FOMC Member Bullard Speaks,,,
2022,Mar 24,4:15am,medium,EUR,French Flash Services PMI,57.4,55.0,55.5
2022,Mar 24,4:15am,low,EUR,French Flash Manufacturing PMI,54.8,55.1,57.2
2022,Mar 24,4:30am,high,CHF,SNB Monetary Policy Assessment,,,
2022,Mar 24,4:30am,medium,CHF,SNB Policy Rate,-0.75%,-0.75%,-0.75%
2022,Mar 24,4:30am,high,EUR,German Flash Manufacturing PMI,57.6,55.9,58.4
2022,Mar 24,4:30am,high,EUR,German Flash Services PMI,55.0,53.6,55.8
2022,Mar 24,5:00am,low,EUR,ECB Economic Bulletin,,,
2022,Mar 24,5:00am,low,EUR,Flash Manufacturing PMI,57.0,56.0,58.2
2022,Mar 24,5:00am,low,EUR,Flash Services PMI,54.8,54.3,55.5
2022,Mar 24,5:30am,medium,GBP,Flash Manufacturing PMI,55.5,57.0,58.0
2022,Mar 24,5:30am,medium,GBP,Flash Services PMI,61.0,58.0,60.5
2022,Mar 24,7:00am,low,GBP,CBI Realized Sales,9,11,14
2022,Mar 24,8:30am,medium,USD,Core Durable Goods Orders m/m,-0.6%,0.5%,0.8%
2022,Mar 24,8:30am,medium,USD,Durable Goods Orders m/m,-2.2%,-0.5%,1.6%
2022,Mar 24,8:30am,medium,USD,Unemployment Claims,187K,210K,215K
2022,Mar 24,8:30am,low,USD,Current Account,-218B,-218B,-220B
2022,Mar 24,9:00am,low,GBP,MPC Member Mann Speaks,,,
2022,Mar 24,9:10am,medium,USD,FOMC Member Waller Speaks,,,
2022,Mar 24,9:45am,medium,USD,Flash Manufacturing PMI,58.5,56.6,57.3
2022,Mar 24,9:45am,medium,USD,Flash Services PMI,58.9,56.0,56.5
2022,Mar 24,10:30am,low,USD,Natural Gas Storage,-51B,-52B,-79B
2022,Mar 24,1:30pm,low,USD,President Biden Speaks,,,
2022,Mar 24,7:30pm,low,JPY,Tokyo Core CPI y/y,0.8%,0.7%,0.5%
2022,Mar 24,7:50pm,low,JPY,SPPI y/y,1.1%,1.2%,1.2%
2022,Mar 24,8:01pm,low,GBP,GfK Consumer Confidence,-31,-30,-26
2022,Mar 25,3:00am,medium,GBP,Retail Sales m/m,-0.3%,0.6%,1.9%
2022,Mar 25,5:00am,medium,EUR,German ifo Business Climate,90.8,94.2,98.5
2022,Mar 25,5:00am,low,EUR,M3 Money Supply y/y,6.3%,6.3%,6.4%
2022,Mar 25,5:00am,low,EUR,Private Loans y/y,4.4%,4.4%,4.3%
2022,Mar 25,6:30am,low,GBP,FPC Meeting Minutes,,,
2022,Mar 25,6:30am,low,GBP,FPC Statement,,,
2022,Mar 25,9:56am,low,EUR,Belgian NBB Business Climate,0.4,1.8,2.3
2022,Mar 25,10:00am,medium,USD,Revised UoM Consumer Sentiment,59.4,59.7,59.7
2022,Mar 25,10:00am,low,USD,FOMC Member Williams Speaks,,,
2022,Mar 25,10:00am,low,USD,Pending Home Sales m/m,-4.1%,1.0%,-5.8%
2022,Mar 25,10:00am,low,USD,Revised UoM Inflation Expectations,5.4%,,5.4%
2022,Mar 25,12:00pm,low,USD,FOMC Member Waller Speaks,,,
2022,Mar 25,12:45pm,low,CAD,Gov Council Member Kozicki Speaks,,,
2022,Mar 26,9:00pm,holiday,CHF,Daylight Saving Time Shift,,,
2022,Mar 26,9:00pm,holiday,EUR,Daylight Saving Time Shift,,,
2022,Mar 26,9:00pm,holiday,GBP,Daylight Saving Time Shift,,,
2022,Mar 27,9:30pm,low,AUD,NAB Quarterly Business Confidence,14,,19
2022,Mar 28,7:00am,high,GBP,BOE Gov Bailey Speaks,,,
2022,Mar 28,8:30am,low,USD,Goods Trade Balance,-106.6B,-106.4B,-107.6B
2022,Mar 28,8:30am,low,USD,Prelim Wholesale Inventories m/m,2.1%,1.3%,1.1%
2022,Mar 28,10:00am,low,CNY,CB Leading Index m/m,0.6%,,1.1%
2022,Mar 28,7:30pm,low,JPY,Unemployment Rate,2.7%,2.8%,2.8%
2022,Mar 28,7:50pm,low,JPY,BOJ Summary of Opinions,,,
2022,Mar 28,8:30pm,low,AUD,Retail Sales m/m,1.8%,0.9%,1.8%
2022,Mar 29,2:00am,low,EUR,German GfK Consumer Climate,-15.5,-14.6,-8.5
2022,Mar 29,2:00am,low,EUR,German Import Prices m/m,1.3%,1.5%,4.3%
2022,Mar 29,4:30am,medium,AUD,Annual Budget Release,,,
2022,Mar 29,4:30am,low,GBP,M4 Money Supply m/m,1.0%,0.2%,0.1%
2022,Mar 29,4:30am,low,GBP,Mortgage Approvals,71K,75K,74K
2022,Mar 29,4:30am,low,GBP,Net Lending to Individuals m/m,6.5B,6.2B,6.1B
2022,Mar 29,7:00am,low,GBP,BOE Quarterly Bulletin,,,
2022,Mar 29,9:00am,low,USD,FOMC Member Williams Speaks,,,
2022,Mar 29,9:00am,low,USD,HPI m/m,1.6%,1.2%,1.3%
2022,Mar 29,9:00am,low,USD,S&P/CS Composite-20 HPI y/y,19.1%,18.6%,18.6%
2022,Mar 29,10:00am,high,USD,JOLTS Job Openings,11.27M,11.00M,11.28M
2022,Mar 29,10:00am,medium,USD,CB Consumer Confidence,107.2,106.9,105.7
2022,Mar 29,12:30pm,medium,CHF,Gov Board Member Zurbrugg Speaks,,,
2022,Mar 29,5:45pm,low,NZD,Building Consents m/m,10.5%,,-8.7%
2022,Mar 29,7:01pm,low,GBP,BRC Shop Price Index y/y,2.1%,,1.8%
2022,Mar 29,7:50pm,low,JPY,Retail Sales y/y,-0.8%,-0.3%,1.1%
2022,Mar 29,8:00pm,medium,NZD,ANZ Business Confidence,-41.9,,-51.8
2022,Mar 30,All Day,low,EUR,German Prelim CPI m/m,2.5%,1.6%,0.9%
2022,Mar 30,3:00am,low,CHF,KOF Economic Barometer,99.7,101.4,105.3
2022,Mar 30,3:00am,low,EUR,Spanish Flash CPI y/y,9.8%,8.0%,7.6%
2022,Mar 30,4:00am,low,CHF,Credit Suisse Economic Expectations,-27.8,,9.0
2022,Mar 30,4:00am,medium,EUR,ECB President Lagarde Speaks,,,
2022,Mar 30,4:10am,medium,GBP,MPC Member Broadbent Speaks,,,
2022,Mar 30,5:13am,low,EUR,Italian 10-y Bond Auction,2.14|1.3,,1.81|1.4
2022,Mar 30,8:15am,high,USD,ADP Non-Farm Employment Change,455K,455K,486K
2022,Mar 30,8:30am,medium,USD,Final GDP q/q,6.9%,7.0%,7.0%
2022,Mar 30,8:30am,low,USD,Final GDP Price Index q/q,7.1%,7.1%,7.1%
2022,Mar 30,9:00am,low,CHF,SNB Quarterly Bulletin,,,
2022,Mar 30,10:30am,medium,USD,Crude Oil Inventories,-3.4M,-2.0M,-2.5M
